login,html_url,score,commits,additions,deletions,net,prs,reviews,repo_count,repos,first_contribution,last_contribution
samqin123,https://github.com/samqin123,726,677,1525300,201721,1323579,13,5,49,".github; 3xpad; DKU-Programs-Hub; Genie-X-PAL-prompts-center; Lymphoma_AI_assistant_xiaoyibao; MedGemma3_test_xyb; NCCN_guideline_download; PancrePal-xiaoyibao; RAG-xiaofeibao-Lungcancer; Xiaoxinbao_TTS; batch_download_wx_articles; ca199_toolbox_donated_by_lihb; case-organizer; chictr-mcp-server; claudecode_quick_switch; clinical_trial_api_search; code-server-samedition; community_volunteer_miniapp; crawl_wx_articles; ctg-rag-genie; dayi-search-mcp; devil-chat; dow_gewe_official_xiaoyibao; dow_gewe_optimized_docker; dxy_med_crawl; embedding-chunk-pre-processing; fastgpt-kb-automation; fastgpt-rag-kb-automation; fastgpt_xiaoyibao_xxxbot; gemini2.0-xiaoyibao; get_biji_mcp; kb_upload_genie; llm-wiki-pancrepal-graphify; miniapp-backend; my-images; openpancan-gene-base-AI-insight-platform-for-pancreatic-cancer-; osintel-pancrepal; pancreapal-osintel; rag-benchmarking; redesign-mini-app; search_china_trials; web; web-xyb-writer-pal; xiao-x-bao-tech-infra; xiaofubao; xiaoxbao_community_edgeone_publish; xiaoyibao-clinical-trials-mcp-server; xxxbot-GetWeather; xyb_wx_articles",2024-05-05,2026-06-28
liueic,https://github.com/liueic,244,217,202410,55251,147159,9,0,15,"Agent-Scale; Agent-Scale-MCP; CareBot; DKU-Programs-Hub; DKU-Programs-Wiki; MCP-KnowS-AI; PancrePal-xiaoyibao; PubMed-Agent; hackathon2026; kb-frontend; kb_upload_genie; mcp-pubmed-server-pancrpal; medical-desensitization; xiao-x-bao-monitor; xiaoxinbao_UI",2025-06-29,2026-06-21
NanSsye,https://github.com/NanSsye,171,171,688455,270055,418400,0,0,1,"3xpad",2025-04-06,2025-05-04
safishamsi,https://github.com/safishamsi,138,138,48466,9611,38855,0,0,1,"llm-wiki-pancrepal-graphify",2026-03-29,2026-04-12
hhx465453939,https://github.com/hhx465453939,105,75,203796,18073,185723,10,0,14,"CareBot; DKU-Programs-Hub; Hackathon-internal; Heartie-fastGPT-analyzer; MedicRAG; MemoPal; PubMed-Agent; Secondev-easy-datasets; VibeWheel_xiaoyibao; Xiaoxinbao_TTS; mcp-pubmed-server-pancrpal; medical-desensitization; xiaoxinbao-full; xiaoxinbao_UI",2025-08-24,2026-06-07
elinawang626-design,https://github.com/elinawang626-design,70,43,12775,1432,11343,9,0,2,"medical-desensitization; xiao-x-bao-monitor",2026-04-19,2026-05-24
peterwillcn,https://github.com/peterwillcn,47,17,190241,307060,-116819,10,0,4,"MinerU-xyb; PancrePal-xiaoyibao; dow-qr-helper; miniapp-xyb",2024-06-30,2025-03-23
williamdeve,https://github.com/williamdeve,34,7,8446,0,8446,9,0,2,"Lymphoma_AI_assistant_xiaoyibao; rag-benchmarking",2025-08-03,2025-08-03
seven1240,https://github.com/seven1240,20,5,98,82,16,5,0,1,"PancrePal-xiaoyibao",2024-06-16,2024-06-16
gaochen0,https://github.com/gaochen0,19,13,104932,305,104627,2,0,2,"Lymphoma_AI_assistant_xiaoyibao; PancrePal-xiaoyibao",2025-08-03,2025-10-19
Handsome5201314,https://github.com/Handsome5201314,9,9,70762,1222,69540,0,0,1,"xiaoxuebao_AI_Project",2025-09-14,2025-09-28
zhuangbiaowei,https://github.com/zhuangbiaowei,7,7,1,1,0,0,0,1,"PancrePal-xiaoyibao",2024-06-16,2024-06-16
dapaohou,https://github.com/dapaohou,5,2,2815,0,2815,1,0,1,"Lymphoma_AI_assistant_xiaoyibao",2025-08-03,2025-08-03
yaqi0510,https://github.com/yaqi0510,5,2,2,2,0,1,0,1,"PancrePal-xiaoyibao",2024-08-25,2024-08-25
xurui-wuzhi,https://github.com/xurui-wuzhi,4,4,1898,651,1247,0,0,1,"Lymphoma_AI_assistant_xiaoyibao",2025-08-03,2025-08-03
Asunfly,https://github.com/Asunfly,4,1,340,3,337,1,0,1,"mcp-pubmed-server-pancrpal",2026-02-08,2026-02-08
rhoggs-bot-test-account,https://github.com/rhoggs-bot-test-account,2,2,0,0,0,0,0,1,"get-biji-dev-by-gemini3pro",,
tian-xiaobo,https://github.com/tian-xiaobo,2,2,46,0,46,0,0,2,"PancrePal-xiaoyibao; dow-qr-helper",2025-03-23,2025-03-23
wspzf,https://github.com/wspzf,2,2,426,6,420,0,0,1,"3xpad",2025-04-20,2025-04-20
azizur100389,https://github.com/azizur100389,1,1,65,1,64,0,0,1,"llm-wiki-pancrepal-graphify",2026-04-05,2026-04-05
eltociear,https://github.com/eltociear,1,1,240,2,238,0,0,1,"llm-wiki-pancrepal-graphify",2026-04-05,2026-04-05
gdesai23,https://github.com/gdesai23,1,1,36,0,36,0,0,1,"llm-wiki-pancrepal-graphify",2026-04-05,2026-04-05
ljinshuan,https://github.com/ljinshuan,1,1,1234,11,1223,0,0,1,"llm-wiki-pancrepal-graphify",2026-04-05,2026-04-05
lvzhaobo-ai,https://github.com/lvzhaobo-ai,1,1,2,0,2,0,0,1,"PancrePal-xiaoyibao",2025-05-04,2025-05-04
Minidoracat,https://github.com/Minidoracat,1,1,21,2,19,0,0,1,"llm-wiki-pancrepal-graphify",2026-04-05,2026-04-05
Vinlic,https://github.com/Vinlic,1,1,7361,0,7361,0,0,1,"PancrePal-xiaoyibao",2024-07-07,2024-07-07
